Search type  | Vertices   | Edge percentage | Basic operations |             Time (s)
greedy       | 4          | 12.5            | 1                | 1.3113021850585938e-05
exaustive    | 4          | 12.5            | 12               | 6.008148193359375e-05
greedy       | 4          | 25              | 1                | 2.5033950805664062e-05
exaustive    | 4          | 25              | 12               | 6.008148193359375e-05
greedy       | 4          | 50              | 1                | 2.002716064453125e-05
exaustive    | 4          | 50              | 12               | 7.43865966796875e-05
greedy       | 4          | 75              | 1                | 2.7894973754882812e-05
exaustive    | 4          | 75              | 32               | 4.7206878662109375e-05
greedy       | 5          | 12.5            | 2                |   3.814697265625e-05
exaustive    | 5          | 12.5            | 32               | 6.771087646484375e-05
greedy       | 5          | 25              | 1                |     3.0517578125e-05
exaustive    | 5          | 25              | 32               | 0.00011324882507324219
greedy       | 5          | 50              | 1                | 2.5510787963867188e-05
exaustive    | 5          | 50              | 80               | 0.0001354217529296875
greedy       | 5          | 75              | 2                | 2.3603439331054688e-05
exaustive    | 5          | 75              | 1024             | 0.001607656478881836
greedy       | 6          | 12.5            | 2                | 3.147125244140625e-05
exaustive    | 6          | 12.5            | 80               | 8.511543273925781e-05
greedy       | 6          | 25              | 2                | 3.886222839355469e-05
exaustive    | 6          | 25              | 80               | 0.0011599063873291016
greedy       | 6          | 50              | 2                | 4.220008850097656e-05
exaustive    | 6          | 50              | 1024             | 0.0011513233184814453
greedy       | 6          | 75              | 2                | 5.0067901611328125e-05
exaustive    | 6          | 75              | 11264            | 0.015911579132080078
greedy       | 7          | 12.5            | 2                | 4.076957702636719e-05
exaustive    | 7          | 12.5            | 192              | 0.0003170967102050781
greedy       | 7          | 25              | 3                | 4.0531158447265625e-05
exaustive    | 7          | 25              | 192              | 0.00032067298889160156
greedy       | 7          | 50              | 3                | 4.649162292480469e-05
exaustive    | 7          | 50              | 5120             | 0.007200002670288086
greedy       | 7          | 75              | 3                | 6.222724914550781e-05
exaustive    | 7          | 75              | 524288           |   0.3713219165802002
greedy       | 8          | 12.5            | 2                | 3.910064697265625e-05
exaustive    | 8          | 12.5            | 448              | 0.0007774829864501953
greedy       | 8          | 25              | 3                | 2.8371810913085938e-05
exaustive    | 8          | 25              | 448              | 0.0005018711090087891
greedy       | 8          | 50              | 4                | 7.677078247070312e-05
exaustive    | 8          | 50              | 114688           |  0.11469197273254395
greedy       | 8          | 75              | 3                | 0.00010061264038085938
